"annee";"mois";"titre";"prix";"nb_pieces";"surface";"secteur";"adresse"
"2015";"9";" Appartement 73 m2 à TAMESNA ANNONCE DE PROFESSIONNEL ";"32000000";"1";"73 m²";"autre_secteur";"Amal 2 au 3éme etage "
"2015";"9";" Appartement 67 m2 à temara ";"560000";"3";"67 m²";"autre_secteur";"TEMARA"
"2015";"9";" Appartement 120 m2 à Rabat Hay Nahda dans une mais ";"850000";"3";"120 m²";"hay_nahda";"cite nahda 1 "
"2015";"9";" Appartement à vendre ";"34000000";"4";"170 m²";"hay_riad";"hay Riad "
"2015";"9";" Appartement 79 m2 à Rabat Diour Jamaa ";"1050000";"3";"79 m²";"diour_jamaa";"Rue souria"
"2015";"9";" Appartement de 100m2 sur Hay El Massira Rabat ANNONCE DE PROFESSIONNEL ";"880000";"4";"100 m²";"massira";"Hay El Massira à côté de Avenue Al Majd "
"2015";"9";" Appartement wifak ";"16000000";"6";"120 m²";"hay_riad";"- "
"2015";"9";" Appartement 392 m2 à Rabat Hay Riad ";"4500000";"8";"392 m²";"hay_riad";"Hay riad "
"2015";"9";" Appartement 111 m2 à Rabat Agdal ";"1900000";"3";"111 m²";"agdal";"agdal "
"2015";"9";" Appartement 4 pièces à Hay el Fath ";"1270000";"4";"96 m²";"hay_el_fath";"Résidence al boustane "
"2015";"9";" Appartement 110 m2 à Rabat Agdal ";"1870000";"3";"110 m²";"agdal";"agdal "
"2015";"9";" Appartement 25 m2 à Rabat Hassan ";"700000";"1";"25 m²";"hassan";"A coté de l''ambassade d''egypte "
"2015";"9";" Appartement 110 m2 à Rabat Agdal ANNONCE DE PROFESSIONNEL ";"1900000";"3";"110 m²";"agdal";"agdal "
"2015";"9";" Appartement 80 m2 à Rabat ANNONCE DE PROFESSIONNEL ";"800000";"3";"80 m²";"agdal";"- "
"2015";"9";" Apt Riad Imb F Bloc C Resd.Riad Al Otores ";"2300000";"4";"128 m²";"hay_riad";"Résidence Annakil Imb F Apt 3 Riad Al Otor "
"2015";"9";" Appartement 204 m2 à Rabat Hay Riad ";"3000000";"5";"204 m²";"hay_riad";"rabat hay ryad "
"2015";"9";" Appartement 94 m2 à Rabat Hay Nahda ";"820000";"3";"94 m²";"hay_nahda";"Jnane Nahda "
"2015";"9";" شقة للبيع ";"500000";"2";"64 m²";"yacoub_el_mansour";"- "
"2015";"9";" Appartement terrasse 120m agdal ANNONCE DE PROFESSIONNEL ";"1800000";"4";"120 m²";"agdal";"Agdal centre "
"2015";"9";" Appart 108 m2 à Hay Riad sect 18 ";"180000";"4";"108 m²";"hay_riad";"Hay Riad sect 18 Rabat "
"2015";"9";" Appartement de 111 m2 à Rabat AgdalHaut Agdal ";"2350000";"4";"111 m²";"agdal";"Rue jabal Tazekka Haut Agdal Rabat "
"2015";"9";" Appartement 110 m2 à Rabat Hassan ";"1200000";"3";"110 m²";"hassan";"Av Moulay Ismail Hassan "
"2015";"9";" Appartement 93 m2 à Rabat Hay Riad ";"1720000";"2";"93 m²";"hay_riad";"- "
"2015";"9";" Appartement 54 m2 à Rabat ";"620000";"1";"54 m²";"autre_secteur";"- "
"2015";"9";" Appartement 73 m2 à Rabat ANNONCE DE PROFESSIONNEL ";"540000";"3";"73 m²";"autre_secteur";"temara "
"2015";"9";" Appartement de standing 186 m2 à Rabat Hay Riad ";"2850000";"6";"186 m²";"hay_riad";"Hay Riad Hay Ryad "
"2015";"9";" Appartement 82 m2 ";"750000";"3";"82 m²";"autre_secteur";"Hay alwiffaq Temara "
"2015";"9";" Appartement 95 m2 ";"870000000";"3";"95 m²";"autre_secteur";"temara "
"2015";"9";" Appartement 86 m2 à témara ANNONCE DE PROFESSIONNEL ";"8500";"3";"86 m²";"autre_secteur";"temara elhachmia "
"2015";"9";" Appartement 60 m2 à Rabat Quartier de l'Océan ANNONCE DE PROFESSIONNEL ";"680000";"2";"60 m²";"quartier_de_l_ocean";"avenu mokawama "
"2015";"9";" Appartement 24 m2 à Rabat Quartier de l'Océan ";"260000";"1";"24 m²";"quartier_de_l_ocean";"- "
"2015";"9";" Appartement 94 m2 à Rabat Quartier de l'Océan ANNONCE DE PROFESSIONNEL ";"1100000";"3";"94 m²";"quartier_de_l_ocean";"avenu mokawama "
"2015";"9";" Appartement de 129 m2 à Agdal ";"1900000";"4";"129 m²";"agdal";"- "
"2015";"9";" Appartement 124 m2 à Rabat Hssan ";"2500000";"4";"124 m²";"hassan";"- "
"2015";"9";" Appartement 64 m2 à Rabat Hay Nahda ";"600000";"2";"64 m²";"hay_nahda";"Res jnan nahda "
"2015";"9";" Appartement 151 m2 à Rabat Hay el Fath ";"1600000";"4";"151 m²";"hay_el_fath";"- "
"2015";"9";" Appartement pas de porte 64 m2 à Rabat Hassan ANNONCE DE PROFESSIONNEL ";"250000";"2";"64 m²";"hassan";"- "
"2015";"9";" Appartement pas de porte 65 m2 à Rabat Hassan ANNONCE DE PROFESSIONNEL ";"260000";"2";"65 m²";"hassan";"- "
"2015";"9";" Appartement 107 m2 à Rabat Quartier de l'Océan ";"1030000";"3";"107 m²";"quartier_de_l_ocean";"rue bruxelle "
"2015";"9";" Appartement 214 m2 à Rabat Mabella ";"1750000";"4";"214 m²";"mabella";"Rue Ouled Bouziri "
"2015";"9";" Appartement 63 m2 à Rabat ";"55000";"3";"63 m²";"autre_secteur";"ain el aouda "
"2015";"9";" Appartement 56 m2 à Rabat Yacoub El Mansour ";"600000";"3";"56 m²";"yacoub_el_mansour";"kwas "
"2015";"9";" Salam ";"690000";"4";"82 m²";"hay_nahda";"immeuble 30 appartement 6 Janane nahda fadesa "
"2015";"9";" Appartement 60 m2 à Rabat Hay el Fath ";"700000";"3";"60 m²";"hay_el_fath";"immeuble 257 appartement 12 hay el fath rabat "
"2015";"9";" Appartement 225 m2 à Rabat Agdal ";"2300000";"3";"225 m²";"agdal";"- "
"2015";"9";" Appartement a CYM ";"270000";"2";"50 m²";"yacoub_el_mansour";"cym rabat buitat "
